doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
30,0.0000,0.0000,0.0000,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8180
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7193,0.0000,0.0000
33,0.3408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.0000,0.0000,0.6503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.1406,0.0000,0.0000,0.0000,0.0000,0.0176,0.0467,0.0000,0.0000,0.0000
36,0.0314,0.0274,0.0000,0.4225,0.0000,0.0000,0.0028,0.0000,0.0000,0.0000
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.2584,0.0001
38,0.3408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,0.0000,0.0000,0.0000,0.2905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0408,0.0000,0.0434,0.0563,0.0000,0.0000,0.0000
42,0.0000,0.0000,0.0930,0.0000,0.5732,0.0132,0.0000,0.0000,0.0000,0.0000
43,0.0000,0.0046,0.0000,0.0000,0.0000,0.0000,0.7152,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.6503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.2791,0.2679,0.0000,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.3819,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,0.2720,0.0000,0.0000,0.0609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,0.3135,0.0032,0.0000,0.0476,0.0000,0.1364,0.0000,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,0.0000,0.5055,0.0000,0.0000,0.2390,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0.0000,0.0328,0.0000,0.0000,0.6924,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.0000,0.4579,0.0000,0.0000,0.0000,0.0000,0.4184,0.0000,0.0000,0.0000
57,0.0000,0.0000,0.5838,0.0000,0.0900,0.0112,0.0000,0.0000,0.0000,0.0000
58,0.0000,0.0000,0.0000,0.0056,0.0844,0.0000,0.3298,0.0000,0.0000,0.0000
59,0.0000,0.0000,0.0000,0.1997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.0000,0.0000,0.0000,0.4963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.0000,0.0523,0.0000,0.0000,0.3217,0.0000,0.0824,0.0000,0.0000,0.0000
62,0.0000,0.0000,0.0000,0.0000,0.0000,0.5596,0.0000,0.0000,0.0000,0.0000
63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7866,0.0000
64,0.0000,0.0000,0.0000,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8180
66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7193,0.0000,0.0000
67,0.0000,0.6948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
